STR,RES,import,dom,kuro,mark1,mark2,iprice,dprice,kprice
101,0,1,0,0,0,0,98,0,0
101,1,0,1,0,0,0,0,230,0
101,0,0,0,1,1,0,0,0,458
101,0,0,0,0,0,0,0,0,0
102,0,1,0,0,0,0,176,0,0
102,1,0,1,0,0,0,0,162,0
102,0,0,0,1,0,1,0,0,344
102,0,0,0,0,0,0,0,0,0
103,0,1,0,0,0,0,124,0,0
103,1,0,1,0,0,0,0,162,0
103,0,0,0,1,0,0,0,0,268
103,0,0,0,0,0,0,0,0,0
104,0,1,0,0,0,0,228,0,0
104,1,0,1,0,0,0,0,196,0
104,0,0,0,1,1,0,0,0,306
104,0,0,0,0,0,0,0,0,0
105,0,1,0,0,0,0,150,0,0
105,1,0,1,0,0,0,0,230,0
105,0,0,0,1,0,1,0,0,420
105,0,0,0,0,0,0,0,0,0
106,1,1,0,0,0,0,98,0,0
106,0,0,1,0,0,0,0,264,0
106,0,0,0,1,0,0,0,0,382
106,0,0,0,0,0,0,0,0,0
107,0,1,0,0,0,0,150,0,0
107,1,0,1,0,0,0,0,128,0
107,0,0,0,1,1,0,0,0,344
107,0,0,0,0,0,0,0,0,0
108,0,1,0,0,0,0,202,0,0
108,1,0,1,0,0,0,0,298,0
108,0,0,0,1,0,1,0,0,458
108,0,0,0,0,0,0,0,0,0
109,1,1,0,0,0,0,124,0,0
109,0,0,1,0,0,0,0,196,0
109,0,0,0,1,0,0,0,0,420
109,0,0,0,0,0,0,0,0,0
201,0,1,0,0,0,0,98,0,0
201,1,0,1,0,0,0,0,230,0
201,0,0,0,1,1,0,0,0,458
201,0,0,0,0,0,0,0,0,0
202,0,1,0,0,0,0,176,0,0
202,1,0,1,0,0,0,0,162,0
202,0,0,0,1,0,1,0,0,344
202,0,0,0,0,0,0,0,0,0
203,0,1,0,0,0,0,124,0,0
203,0,0,1,0,0,0,0,162,0
203,1,0,0,1,0,0,0,0,268
203,0,0,0,0,0,0,0,0,0
